name,Producer,Region/Appellation,Grape/Blend,Food Suggestion,Wine Style,Alcohol Content,Notes
"Sangria ""Limonada"" NV Palacio de Canedo",Prada a Tope,Castilla y Leon,Mencia,Lamb,Red - Rich and Intense,null,null
Rosso NV Paolo Palumbo,null,Penisola Sorrentina Lettere,Aglianico - Piedirosso,Beef and Venison,Red - Bold and Structured,null,"Indicative blend: Piedirosso, Aglianico and Sciascinoso"
Anjou Blanc 2018 Domaine de Clayou,null,Anjou,Chenin Blanc,null,null,null,null
"Pinot Noir ""Golden"" 2017 Folktale*",null,Monterey County,Pinot Noir,Chicken and Turkey,Red - Light and Perfumed,14.2%,null
Shiraz HP Hydraulic Press 2016 David Franz,David Franz Lehmann Wines,Barossa,Shiraz,Beef and Venison,Red - Rich and Intense,14.3%,null
"Chenin Blanc ""First Light"" 2018 Remhoogte",Remhoogte Wine Estate,Stellenbosch,Chenin Blanc,Cheddar and Gruyere,White - Buttery and Complex,null,null
Graves La Raison 2010 Chateau des Fougères,Chateau des Fougeres,Graves,Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,null,This producer also makes a white wine. Ensure your merchant has the color you are looking for.
Primo Segno 2015 Villa Venti,Societa Agricola Villa Venti S.S.,Romagna,Sangiovese,null,null,null,null
Aglianico del Vulture 2013 D'Angelo,Casa Vinicola d'Angelo,Aglianico del Vulture,Aglianico,Lamb,Red - Bold and Structured,13 - 17%,null
G de Guiraud 2016 Château Guiraud,Chateau Guiraud,Bordeaux,Sauvignon Blanc - Semillon,Meaty and Oily Fish,White - Green and Flinty,13 - 14.2%,Indicative bland: Sauvignon - Semillon.
Paleokerisio 500ml 2018 Glinavos,Ktima Glinavos,Epirus,Debina,White Fish,Sparkling - Fresh and Youthful,null,Indicative blend: Debina with the addition of a small percentage of the red variety Vlahiko. Style: Semi Dry Frizzante.
Friulano 2018 Ronchi di Cialla,Ronchi di Cialla,Colli Orientali del Friuli,Friulano,White Fish,White - Green and Flinty,null,null
Chardonnay 2017 Strangeways,null,California,Chardonnay,Mushrooms,White - Buttery and Complex,null,null
Sauvignon Blanc 3L 2018 Maison Cubi,Maison Cubi,Vin de Table - Vin de France,Sauvignon Blanc,White Fish,White - Tropical and Balanced,null,null
Cava Brut Nature NV Camps d'Estels,New Vinergia 2005 S.L.,Cava,Cava Blend,Manchego and Parmesan,Sparkling - Fresh and Youthful,11.5%,null
